id;uuid;name of product/component/feature/subfeature;description;type;status;color_class
6951548;fc03ca52-3da4-4059-9b49-33e7739e42e7;Admin tools available for more hours;"# Value

**E Customer Ops teams can more effectively meet SLAs, reducing churn risk.*

# **Use Case**

- Elation Customer Operations teams have access to Admin Tools to more effectively meet their SLAs.


# Data Inputs

- <p></p>


# **Projected KR Impact**

- Churn
";feature;Done (Archive);green
6951556;3bb06029-fda6-41fa-8bef-c9644a2feb60;EPN stabilization;<p></p>;subfeature;Backlog;smokeLight
6951558;02faafb3-7eb5-44a9-acdb-dc345fa85fbf;2020 MIPS & CPC+ reporting support;"# Value

*All practices are supported through 2020 reporting period to MIPS & CPC+.*

# **Use Case**

- <p></p>


# **Data Inputs**

- <p></p>


# **Projected KR Impact**

- <p></p>
";feature;Done;green
6951559;d23a64fa-afbe-4e6e-adfb-3df7e4c9096f;Unidirectional IRs R1: Community;"Scope: 
- fixing any issues that come up in Pilot
- adding any fields that we might have missed in the Pilot in first 10 states

- rollout to all 50 states

# Data Inputs
- Top 10 priority states for Release 1 [https://docs.google.com/document/d/1B5H07TnABgcodwIcDtyGlveG5B4UWPXSM14C0SyMkqw/edit?usp=sharing](https://docs.google.com/document/d/1B5H07TnABgcodwIcDtyGlveG5B4UWPXSM14C0SyMkqw/edit?usp=sharing%7Csmart-link) 
- [Responses to COVID-19 Administration survey ](https://docs.google.com/spreadsheets/d/1jeYj-4XWgEUmLnnVNGmrdCrw70AgxZwoGOpVrw4nj3U/edit?usp=sharing)
- Practices that participate in MIPs
- Tech Forward groups administering the COVID-19 vaccine (XO is building out their own IR integration)


<p></p>

- 5 - Sales team has reported this is a significant ask from prospects and blocks pediatrician business  
Reach - 4 - The majority of our providers are administering or documenting immunizations in Elation and practice in states that require reporting to immunization registries
  - 5 - This interface will save the practice a significant amount of time logging into the IR and manually documenting immunizations for patients.
  - 5 - We have consistently received requests for IR interfaces for the past 4+ years and user research has demonstrated the immense value. 
- 5 - Bidi IRs will be a sizable portion of the MIPS PI and unidirectional is the first step in the right direction.
";subfeature;Done;green
6951560;a587b5f0-c522-4401-a9f5-a319325f26ca;21st CC: Info Blocking (4/5/21);"# Value

*Elation C-CDA complies with USCDI standards to enable interoperability and meet information blocking requirements. (Apr 5)*

# **Use Case**

Elation C-CDA complies with [<u>USCDI standards</u>](https://elationhealth.atlassian.net/wiki/spaces/PO/pages/1070269030/United+States+Core+Data+for+Interoperability+USCDI+v1).

# Data Inputs

**Deadline: April 5**

<p></p>

This will result in pediatrics and psych churn if we don't address their concerns re: Exception Handling.

<p></p>

[<u>HealthIT.gov</u>](https://www.healthit.gov/isa/united-states-core-data-interoperability-uscdi)

# **Projected KR Impact**

- Prevent monetary penalties (CEHRT)
";feature;Done;green
6951561;6bc661eb-caae-4a0e-99c5-2936dcf329f8;LogiCoy PMP;"# 1.1 Strategic Alignment

SMB Objective: Grow our competitive moat and accelerate our acquisition of SMB IPCP’s to be the market leader for SMBs.  
This opportunity should maintain Elation’s competitive moat of being a compliant, highly usable EHR that does not get in the way of providing personalized, high-quality patient care. 

# 1.2 Problem Alignment

Providers in all states except for Missouri are required to check the PMP before prescribing some controlled substances and, in some states, regularly after permanent controlled substance prescriptions are prescribed. The intention of this legislation is to prevent doctor shopping and controlled substance abuse. This requirement does create extra steps in the EPCS workflow for our users, requiring them to leave Elation to log into their state’s PMP, typing in the patient’s identifiers, and reviewing the PMP record. Integrating with the PMP would allow the PMP report to be triggered in a new tab from the Elation patient chart, removing the log in and patient search steps of the EPCS workflow. Additionally, Elation must integrate with the LogiCoy PMP by September 1, 2021 by Washington law for practices with more than 10 users and by January 1, 2022 by Illinois law.

# 1.3 Prioritization Drivers

## Inputs

- Compliance: Required by IL and WA state law

- Simplifies provider workflows → saves time of provider


## Scoring

- Revenue (1/5)

- Churn (3/5)

- Customer Value (5/5)

- Strategic Value (3/5)

- Time Criticality (5/5)


# 1.4 Solution Hypothesis

## Hypothesis Statement:

If we integrate with the state’s PMP, the provider will be more likely to check the PMP before prescribing a controlled substances.

## Success Measures:

PMP button is clicked before a controlled substance is prescribed.

## Constraints:

- Each state is different in requirements for PMP checking, as some require checking the PMP for all controlled substances and others only for commonly abused medications, like opiates and benzos.
";feature;Done;green
6951563;f5c809c1-644e-4fe7-8b30-11e9786fa386;eRx SCRIPT 6.1: Community Release (9/1);"# Value

*All IPCPs seamlessly comply with new e-prescribing standards\. \(Sep 1\)*

# **Use Case**

- All providers leverage the latest Script 6\.1 standard when e-prescribing controlled substances\.


# Data Inputs

Deadline: September 1\. 
- [Confluence documentation](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/588841180/PRD+SureScripts+6.1+EPCS+Upgrade)


We have not yet community-released Script 6\.1 EPCS and are therefore maintaining and operating against unnecessarily divergent product experience / code\.

# **Projected KR Impact**

- Prevent monetary penalties
";feature;Done (Archive);green
6951564;d256ff18-8113-4378-b014-fe8c2037160d;SMS opt-in: community release;"Practices have the ability to choose to send communications to patients via a variety of channels, including SMS. In order to be compliant with [TCPA of 1991](https://www.twilio.com/docs/glossary/what-is-telephone-consumer-protection-act-tcpa#:%3Csub%3E:text=The%20TCPA%20), patients must opt-in to receive communications via SMS.

<p></p>

With this functionality, practices will be able to invite patients to opt-in, and patients will also be able to opt-in via links in Passport and Appointment Reminders and Confirmations. Patients will be taken to an opt-in preferences page, where they will be able to officially opt in or out. If a patient has not opted in, communications will be sent via other channels (ex: email, Passport, phone). 
";feature;Done (Archive);green
6951565;c4307ddb-cd58-4108-b6f1-9dfe857fe556;MIPS: 2021 eCQM Updates;"[Q3 Discovery Plan](https://elationhealth.atlassian.net/wiki/spaces/~77889717/pages/1985413558/Q3+Discovery+Care+Performance+Team)  
[Q4 JIRA epic](https://elationhealth.atlassian.net/browse/RM-17377) (update one-at-a-time)

<p></p>

<p></p>

# More Context

<p></p>

Recurring needs every year: <https://elationhealth.atlassian.net/wiki/spaces/COR/pages/1455489105/MIPS+Government+Quality+Program+-+Policy+and+Product+Support+Needs>

# **Projected KR Impact**

- <p></p>
";subfeature;Build In Progress (FRD);yellow
6951566;69551cd3-5cae-46b4-b63e-b58f4f573ae8;21st Century Cures: Real World Test Plan (Drummond: 11/15/21);Drummond deadline is 11/15/21. Actual deadline is 12;feature;Backlog;smokeLight
6951567;8eb7e81a-ce41-4cb7-82fb-b89c5f8a4f45;Bamboo Prescription Drug Monitoring Program;"<p></p>

**Project docs**

<https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2785050703/Bamboo+Health+PMP+Integration+Documents>

<p></p>

**Problem Statement:** Providers by law must check PMP databases prior to prescribing specific medications\. They endure a significant time burden and decreased productivity when the check PMP workflow is not integrated in Elation\.

**Solution Statement:** PDMP Integration within the app to enable providers to efficiently care for their patients

**Why Now:** Consistent top issue for Suvida and ASAS

**DOS:** All customers, except for those in California, Illinois, Kentucky, Maryland, Nebraska, Utah, Washington, Colorado, Wyoming, New York, New Hampshire, Vermont, and Wisconsin will have a PDMP integration within Elation\. For reference customers who have adopted Bamboo, we will measure the ratio of controlled prescriptions e\-prescribed to PMP button clicks since PMP should be checked prior prescribing these prescriptions\. Reference customers will validate their PMP check burden has decreased across all clinics\.

<p></p>

PRD: <https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/1118208379/PRD+Bamboo+Prescription+Drug+Monitoring+Program+Integration>

<p></p>

Beta Interests: Workit, [Capitol Hill Medical](https://elation.lightning.force.com/lightning/r/Case/5006O00002AiLQuQAN/view?ws=%2Flightning%2Fr%2FContact%2F0031G000018IffHQAS%2Fview), Suvida, ASAS
";feature;Done (Archive);green
6951570;8a553b19-4249-4e47-96f4-43604fb95e55;MySQL Upgrade;"# Value

Datastore investments to improve our site reliability. (MySQL upgrade, Redis load test)

# **Use Case**

- Upgrade db12 to MySQL 5.7


# Data Inputs

- AWS is turning off our version of MySQL in August 2021. **This is now November 2021**

- Existing high priority for A-Team. Will be EOL’d by AWS in a few months, so there is already a strong external motivation, aside from security.

- We have determined that this work is **A-Team priority #2**. Initial planning requires this work to be delivered before late July. 


# **Projected KR Impact**

- SOC 2 compliance


<p></p>

[MySQL Upgrade Asana project](https://app.asana.com/0/1200306854738659/list)

<p></p>";feature;Done;green
6961172;393e393d-0fcb-4643-8e33-72ea4b5cc0a2;Real-Time Eligibility: Automated bulk checks for upcoming appointments;"<https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2120876261/PRD+RTE+-+Eligibility+Checks+Are+Run+Automatically+Without+Manual+Effort+From+Elation>

Providing the ability to automatically run eligibility checks in bulk for upcoming visits and view results in Demographics will enable us to sunset the manual eligibility check completed by our offshore RCM resources\. Additionally, it will allow non-RCM customers to access this information directly in Elation, creating a simpler patient check-in experience for front office staff\. However, support for ad-hoc eligibility checks will need to be a fast follower to ensure we fill in key gaps missed by the automated process \(walk-ins, cases where information isn’t complete/accurate, etc\.\)
";feature;Done;green
6961202;4ee43deb-788e-47de-8a08-09794303d977;Patient Forms API - Read questions and answers from patient submitted forms;"Problem Statement:

- Organizations that want to use patient form data outside the system \(reporting, etc\.\) don’t have an easy way to fetch the data​


Solution Statement: <span data-preserve-white-space></span>

​\* We can help customers get more value out of elation by letting them fetch patient form data using APIv2

Why Now:

- This is a q2 customer commitment <span data-preserve-white-space></span>


<p></p>

**Excluded from Scope**

Writing responses

<p></p>

*NOTES*

- For consents and insurance card images, we can give a pre-signed URL to the image\. These will have an expiration, so the customer will need to utilize it within the specified timeframe

- For a v1, we could look at using parts of the blobs with minimal manipulation

- It may be beneficial to create a pydantic model for some level of the json blob to make it easier to manipulate

- Splitting HDB into a separate ticket
";feature;Done (Archive);green
6961214;82e3a315-217b-487f-ab95-2d6fba307bb4;HEDIS CQM;"";feature;Backlog;smokeLight
6961221;342e2916-3f5e-4c9b-bc84-01a78881ad26;Multi-login support;<p></p>;feature;Done;green
6961222;2405cdfa-a692-4369-a3f2-400e6ca636c2;Preferred Referral Network Configuration via API;"# 1.1 Strategic Alignment

**TF Objective: Be the Market Leader for Tech Forwards**  
This opportunity should enable tech forward customers that are curating preferred provider directories outside of Elation EHR to synchronize the curated list via API to Elation for clinical users referring with the EHR, to drive manage cost of care and while delivering high quality clinical service to patients.

# 1.2 Problem Alignment

Tech forward reference customers are investing in preferred referral management by aggregating data on providers including profile data (e.g. services, location, etc.), costs, and quality (e.g. patient scores, TTR with post visit summaries). They leverage both centralized referral coordinators and clinician driven actions for referrals. Tech forwards are in early stages of defining their referral provider curation. Tech forward organizations want to ensure their patients are referred to a preferred referral provider. They are still learning which combination of cost, quality and profile information is the most impactful in managing cost while delivering high quality care.  

# 1.3 Prioritization Drivers

3 of the 4 (XO, Firefly, Cityblock) tech forward reference customers are in early thinking around defining preferred network provider criteria and curation process in the 2nd half of 2021. By prioritizing this work in tandem with the tech forwards, there is an opportunity to lead them to solution that accelerates techforward success and provides Elation with insights to define our path to be successful in referral management as risk bearing entity for SMB market.

## Scoring

- Business Impact - 3/5, Part of a ""premium tier"" API/Data service for Pop Health APIs. 

- Reach - 4/5, 2/4 (50%) reference customers are exploring this.

- Impact: 4/5, Enables organizations to manage cost through network steerage 

- Confidence: 5/5 Based on discovery with Cityblock

- Effort: 5/5 2-3 sprints 


# 1.4 Solution Hypothesis

## Hypothesis Statement:

- As clinical network operations team member, I want to ensure providers refer their patients to our preferred network providers, so that I can ensure patients receive the best care experience at the lowest cost


<p></p>

## Success Measures:

- 1 TF account (Cityblock, XO) adopts by end of Q1, 2022


## Constraints:

- TF integration adoption timelines


# 1.5 Resource Links

JIRA: To be added

MIRO: [Discovery](https://miro.com/app/board/o9J_l_DY4CE=/) with XO, Firefly, Cityblock

PRD: To be added

<p></p>

{Historical Content}

Elation can support this lever in cost and pop health management by collaborating on a roadmap that provides tools, data and intelligence to enable both centralized referral coordinator and clinicians at point of care to make informed decisions about where to refer their patients. 

The Preferred Referral Configuration API is the 1st iteration of a solution to enable Techforward clinicians using Elation EHR to select providers for referrals based on curated provider network list (list is managed by the customer in their proprietary platforms). Options for surfacing preferrred curated list could be:

1/ Prefix in name (e.g 000 to force order of display)

2/ Relax specialty list requirements

3/ Leverage designation field 

# Value

Enable tech forward cohorts to manage cost of patient care by directing patient to preferred (in-network) providers versus out-of-network providers.

# **Use Case**

- Configure preferred referral networks to reduce costs and improve outcomes.


# Data Inputs

- Critical for Firefly business 

- Might be an opportunity to leverage CDS Webhooks infrastructure


# **Projected KR Impact**

- Need to explore whether we can monetize this service as part  of performance or population health package (""package is yet to be defined, used more as a placeholder"").
";subfeature;Backlog;smokeLight
6961226;a815a62f-a274-4609-873a-fcd83e5b3851;MFA (2FA);"# Customer Value

Elation platform is secured using MFA through a phased rollout across the EHR user base.

<p></p>

This requires MFA community rollout. TF customers are understanding of the delay, because even TFs need time to roll this out to their own organizations.

<p></p>

The way to gradually change-manage is to leverage Okta groups to enforce MFA gradually, cohort-by-cohort.

<p></p>

Out of scope: MFA for Passport";feature;Done (Archive);green
6961228;cf2668a7-6066-492c-a11d-70837be86fdd;SSO R1: External IdP configuration;"Elation users can leverage their organization's Identity Provider \(IdP\) to login to Elation\.
";subfeature;Done (Archive);green
6961253;dff22465-d8b4-4e0c-9db4-75f13b85bc78;Referrals API;"Cityblock deadline: Q4

# Value

*TF customers can close-the-loop on Referrals w/ patients and care teams between visits (centralized referral management).*

# **Use Case**

- ~~Track the status of referrals via API to close the loop.~~

- Event notification for referrals submitted in-app via web hooks [Q2 deliverable]

- Create and send Referrals via API. [Q4 deliverable]


# Data Inputs

- <p></p>


# **Projected KR Impact**

- <p></p>
";feature;Done;green
6961260;b70e1ee3-d36c-41d3-8389-628934d6e119;CPT and ICD-10 code QA;"";feature;Backlog;smokeLight
6961262;9368325d-3070-49f7-b080-60a73fee039c;Clinical User identity management and Granular roles & permissions;"Use Case:

1/ Single user identity across CDUs with roles and permissions centrally managed

2/ Delegate permissions and user preferrences

3/ Notifications impacted by roles and permissions

<p></p>";feature;Backlog;smokeLight
6965878;852367d3-4c5e-484f-ab2b-ce178933f122;Manifest MedEx (CA HIE connectivity);"# Value

*California Medi-Cal providers can gain access to the Manifest MedEx (MX) Health Information Exchange (HIE) Platform to improve patient outcomes.*

# **Use Case**

- For participating Medi-Cal providers, Elation automatically posts patient encounter data to the MX HIE. As a result, providers gain access to more comprehensive patient data via MX HIE.


# **Data Inputs**

Enables Elation [<u>Manifest Medex (MX)</u>](https://docs.google.com/document/d/1mn5-CPJ9sgc0jaeZzX2NjZx11KdK3wBCIdscr-hklwk/edit?ts=5ff7a554), where Elation would receive $5,000 for every qualified practice signed up and $1,000 for any non-qualified practice. The goal would be to signup 100 qualified practices in Q1/Q2 of 2021. Revenue target of $500,000.

<p></p>

SFTP Connector ~~+ HL7 ADT Messages~~ work is reusable for other types of integrations (such as Carequality) and can be leveraged to create connectivity to other HIEs.

# KR Impact

- Clinical-first brand impact

- SO1/KR#2: SMB IPCP logo churn <0.4% monthly
";feature;Done;green
6965917;5c925be3-491b-47da-b2d6-918bb95eed9d;Reactified patient demographics dialog;Feature parity with legacy demographics dialog.;feature;Done (Archive);green
6965918;2e638955-f2c4-4381-97a5-e9e3505674a4;USCDI C-CDA;"";subfeature;Done;green
