"Purpose of this sheet: To define Elation's Product Domains and clarify which teams ""own"" which Capabilities.
Configure local provider directory (e.g. practice created contacts),Provider Directory,ACES,Provider,7/13/2023,1/27/25,,,,,
Configure preferred provider directory (e.g. curated EPN or Ribbon),Provider Directory,ACES,Provider,11/2/2022,1/27/25,,,,,
Search and select a provider for a referral,Provider Directory,ACES,Provider,11/2/2022,1/27/25,,,,,
"Search provider directory (e.g. EPN, Ribbon)",Provider Directory,ACES,Provider,7/19/2023,1/27/25,,,,,
Explore a sample chart,Sales Enablement,ACES,Onboarding & Support,11/2/2022,,,,,,
Sync Elation Practices with Salesforce Accounts,Salesforce-Elation Integration,ACES,Onboarding & Support,11/2/2022,,,,,,
Sync Elation Users with Salesforce Contacts,Salesforce-Elation Integration,ACES,Onboarding & Support,4/14/2023,,,,,,
Configure settings and resources within a practice (workspaces),"Scale (ex. Workspaces, Enterprise patient search)",ACES,IT Administrator,11/2/2022,5/17/24,,,,,
"Indicate that two practices are one management org (PLR, enterprise_id)","Scale (ex. Workspaces, Enterprise patient search)",ACES,IT Administrator,11/2/2022,5/17/24,,,,,
View single patient chart within the org,"Scale (ex. Workspaces, Enterprise patient search)",ACES,IT Administrator,11/2/2022,5/17/24,,,,,
Enable/disable an existing user account,User Management,ACES,Onboarding & Support,11/2/2022,,,,,,
Manage provider profile,User Management,ACES,Onboarding & Support,11/2/2022,,,,,,
Manage user groups,User Management,ACES,Onboarding & Support,11/2/2022,,,,,,
Manage users via API,User Management,ACES,Onboarding & Support,11/2/2022,,,,,,
Train users on product,User Training,ACES,Onboarding & Support,11/2/2022,,,,,,
Amend a provider letter,"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Provider,7/19/2023,1/27/25,,,,,
Draft a provider letter,"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Provider,11/2/2022,1/27/25,,,,,
Incorporate data from chart collaborators (ie Care Team),"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Outside Provider,11/2/2022,1/27/25,,,,,
Manage chart collaborators (ie Care Team) outside of the practice,"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Outside Provider,11/2/2022,1/27/25,,,,,
Receive a provider letter,"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Provider,7/13/2023,1/27/25,,,,,
Send a provider letter,"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Provider,7/13/2023,1/27/25,,,,,
Share patient information with collaborators (ie Care Team) outside of practice,"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Outside Provider,11/2/2022,1/27/25,,,,,
Manage chart data shared with outside providers,"Chart Collaboration (Ex. PLR, CHR, Provider Portal, Connect)",ACES,Outside Provider,11/2/2022,1/27/25,,,,,
Leverage AI in EHR workflows,Integrated AI (Artificial Intelligence),AI,Provider,1/4/2024,1/27/25,,,,,
Restore deleted chart records,Activity Log - Clinical (ex. Signing Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
View clinical profile edits,Activity Log - Clinical (ex. Signing Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
View edits to documents in chronological record,Activity Log - Clinical (ex. Signing Visit Notes),Clinician Efficiency,Provider,4/27/2023,5/14/24,,,,,
View report addendum activity,Activity Log - Clinical (ex. Signing Visit Notes),Clinician Efficiency,Provider,7/26/2023,5/14/24,,,,,
View visit note amendments (after signoff),Activity Log - Clinical (ex. Signing Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
View visit note edits (before signoff),Activity Log - Clinical (ex. Signing Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
"Apply the right diagnosis codes (Dx, RAF)",Bill Coding,GPT,Coder,4/13/2023,12/22/25,,Moved from CE to GPT,,,
"Apply the right procedure codes (CPT, CPTII)",Bill Coding,GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Configure CPT codes and charges,Bill Coding,GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Search for CPT codes,Bill Coding,GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Search for diagnosis codes,Bill Coding,GPT,Coder,8/3/2023,12/22/25,,Moved from CE to GPT,,,
Select diagnosis (Dx) code,Bill Coding,GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Select procedure (CPT) code,Bill Coding,GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Amend bill,Bill Creation (aka Claim Creation),GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Apply validation rules to the bill,Bill Creation (aka Claim Creation),GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Bill an encounter,Bill Creation (aka Claim Creation),GPT,Coder,4/13/23,12/22/25,,Moved from CE to GPT,,,
Conform bills to standards (e.g. X12),Bill Creation (aka Claim Creation),GPT,Back-Office Staff,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Set bill defaults and templates,Bill Creation (aka Claim Creation),GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Sync bill with clinical documentation,Bill Creation (aka Claim Creation),GPT,Coder,11/2/2022,12/22/25,,Moved from CE to GPT,,,
Track and audit bills,Billing Workflows,GPT,Coder,3/8/23,12/22/25,,Moved from CE to GPT,,,
Manage Care Plans,Care Plan,Clinician Efficiency,Care Navigator,11/2/2022,6/21/24,,Moved from Orders to CE.,,,
Curate a patient's chronological record,Chronological Record,Clinician Efficiency,Provider,6/30/2023,3/1/24,,Moved from OC to CE.,,,
Review the patient's chronological record,Chronological Record,Clinician Efficiency,Provider,11/2/2022,3/1/24,,Moved from OC to CE.,,,
Search a patient's documents,Chronological Record,Clinician Efficiency,Provider,,3/1/24,,Moved from OC to CE.,,,
Document & track pregnancy progress with prenatal flowsheets,Clinical Profile,Clinician Efficiency,Provider,3/30/2023,3/30/2023,3/30/2023,,,,
Export data from the clinical profile to note,Clinical Profile,Clinician Efficiency,Provider,11/2/2022,,,,,,
Import data from the note to the clinical profile,Clinical Profile,Clinician Efficiency,Provider,11/2/2022,,,,,,
Print the clinical profile,Clinical Profile,Clinician Efficiency,Provider,10/24/2023,,,,,,
"View, reconcile, and curate the patient's allergies",Clinical Profile,Clinician Efficiency,Provider,11/2/2022,12/1/22,,,,,
"View, reconcile, and curate the patient's clinical profile",Clinical Profile,Clinician Efficiency,Provider,11/2/2022,,,,,,
"View, reconcile, and curate the patient's medication history",Clinical Profile,Clinician Efficiency,Provider,11/2/2022,2/24/23,,,,,
"Conduct standard clinical screening questionnaires (e.g. PHQ-9, GAD-7, SDOH)",Clinical Questionnaires,Clinician Efficiency,Provider,11/2/2022,4/14/2023,,,,,
Configure and add to library of standard clinical screening questionnaires,Clinical Questionnaires,Clinician Efficiency,Provider,11/2/2022,4/13/23,,,,,
View clinical questionnaire results,Clinical Questionnaires,Clinician Efficiency,Provider,11/2/2022,,,,,,
Amend visit note (post-signoff),Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Apply visit note template,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Attach an embedded document to a visit note,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,8/3/2023,5/14/24,,,,,
Bulk Sign Visit Notes,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Configure visit note template,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,4/20/2023,5/14/24,,,,,
Delete a note,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Dictate encounter documentation,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Import chart data to visit note,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,2/16/2024,5/14/24,,,,,
Import data from a previous visit note to a new visit note,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Produce a printable visit note,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Restore visit note edits,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,12/2/2022,5/14/24,,,,,
Sign or co-sign a Visit Note,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Write non-visit note,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,5/12/2023,5/14/24,,,,,
Write visit note (1.0) ,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,12/22/2022,3/6/2025,,,,,
Write visit note (2.0) ,Encounter Documentation (Notes & Visit Notes),Clinician Efficiency,Provider,3/6/2025,3/6/2025,,,,,
Attach flowsheets and observations to letters and referrals,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Document observations,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Record a point-of-care lab,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,11/2/2022,5/14/24,,Moved from Orders to CE,,,
Review patient's growth chart,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Run calculations based on observations,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,7/26/2023,5/14/24,,,,,
Trend lab results,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,11/2/2022,5/14/24,,Moved from Orders to CE,,,
Trend observations,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,11/2/2022,5/14/24,,Moved to Flowsheets & Observations,,,
Trend orders,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,8/11/2023,5/14/24,,,,,
Trend vitals,Flowsheets & Observations (Objective data),Clinician Efficiency,Provider,11/2/2022,5/14/24,,,,,
Deliver care on the go,Mobile EHR,Clinician Efficiency,Provider,11/2/2022,,,,,,
Administer Care Gaps (API),Care Gaps Service (Custom Care Gaps),Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Administer Care Gaps (File),Care Gaps Service (Custom Care Gaps),Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Idenitify patients with Care Gap,Care Gaps Service (Custom Care Gaps),Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Assess CQM calculations (MIPS),Clinical Quality,Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Configure Health Maintenance Reminders,Clinical Quality,Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Find relevant CQM (MIPS),Clinical Quality,Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Report CQM Performance (MIPS),Clinical Quality,Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
View health maintenance items,Clinical Quality,Clinician Efficiency,Clinical Administrator,,1/27/25,,,,,
Act on Clinical Reminders (Built-in CQM),Clinical Reminders,Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Act on Clinical Reminders (Care Gaps),Clinical Reminders,Clinician Efficiency,Clinical Administrator,4/20/2023,1/27/25,,,,,
Configure document tags,Document Tags,Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
View and select document tags,Document Tags,Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Assess patient risk score,Patient Risk Score (RAF & HCC),Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
View risk weights for DX,Patient Risk Score (RAF & HCC),Clinician Efficiency,Clinical Administrator,11/2/2022,1/27/25,,,,,
Access API documentation,"Developer Experience (API, Hosted Database)",Data Platform,App Developers,11/2/2022,5/14/24,,,,,
Access EHR data for custom analytics and reporting,"Developer Experience (API, Hosted Database)",Data Platform,Data Developers & Analysts,11/2/2022,5/14/24,,,,,
Access Elation API documentation (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,App Developers,12/1/2023,5/14/24,,,,,
Access hosted database documentation (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,Data Developers & Analysts,12/1/2023,5/14/24,,,,,
Create custom hosted database reports (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,Data Developers & Analysts,12/1/2023,5/14/24,,,,,
Receive and address API errors,"Developer Experience (API, Hosted Database)",Data Platform,App Developers,11/2/2022,5/14/24,,,,,
Receive consultation on Elation API implementation (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,App Developers,12/1/2023,5/14/24,,,,,
Receive consultation on hosted database query (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,Data Developers & Analysts,12/1/2023,5/14/24,,,,,
Set up or configure an Elation API sandbox (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,App Developers,12/1/2023,5/14/24,,,,,
Set up or configure Elation API in production (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,App Developers,12/1/2023,5/14/24,,,,,
Set up or configure hosted database and accounts (Solutions),"Developer Experience (API, Hosted Database)",Data Platform,Data Developers & Analysts,12/1/2023,5/14/24,,,,,
Document vitals using an integrated partner,"Clinical Partner Integrations (Ex. Vitals monitor, EKG, Remote Patient Monitoring)",Data Platform,Provider,11/2/2022,1/27/25,,,,,
Query remote patient data (RPM),"Clinical Partner Integrations (Ex. Vitals monitor, EKG, Remote Patient Monitoring)",Data Platform,Outside Provider,11/2/2022,1/27/25,,,,,
Utilize eConsult partners,"Clinical Partner Integrations (Ex. Vitals monitor, EKG, Remote Patient Monitoring)",Data Platform,,,1/27/25,,,,,
Document xrays using an integrated partner,"Clinical Partner Integrations (Ex. Vitals monitor, EKG, Remote Patient Monitoring)",Data Platform,,9/20/2024,,,,,,
Report on staff activity,Productivity Reports,Data Platform,Data Developers & Analysts,11/2/2022,1/27/25,,,,,
Report on provider activity,Productivity Reports,Data Platform,Data Developers & Analysts,11/2/2022,1/27/25,,,,,
Browser Support/Configuration,Usability,Design System,IT Administrator,6/28/2023,,,,,,
Configure appearance (UI) of Elation EHR,Usability,Design System,IT Administrator,3/8/2023,4/5/23,,,,,
"Navigate dropdown options (sort, filter, etc)",Usability,Design System,All,4/5/2023,6/5/23,,,,,
Navigate the date picker,Usability,Design System,All,11/15/2023,,,,,,
Understand & trust in app guidance (copy updates),Usability,Design System,All,12/2/2022,,,,,,
View appointment edits,Activity Log - Operational (ex. Appointments activity),FO/PE,Front-Office Staff,11/2/2022,5/14/24,,,,,
View demographic edits,Activity Log - Operational (ex. Appointments activity),FO/PE,Front-Office Staff,11/2/2022,5/14/24,,,,,
View Workspace edits,Activity Log - Operational (ex. Appointments activity),FO/PE,Front-Office Staff,8/7/2024,,,,,,
View patient activity,Activity Log - Operational (ex. Appointments activity),FO/PE,Front-Office Staff,8/25/2023,5/14/24,,,,,
Sign and annotate a document,Annotate,FO/PE,Front-Office Staff,8/3/2023,,,,,,
Remind patients to attend appointment,Appointment Reminders,FO/PE,Front-Office Staff,4/20/2023,,,,,,
Run reports for appointments,Appointment Report,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Run reports on time spent on patient,Appointment Report,FO/PE,Front-Office Staff,9/13/2023,,,,,,
Cancel an appointment (patient-facing),Booking Site,FO/PE,Patient,11/2/2022,,,,,,
Manage Online Booking,Booking Site,FO/PE,Patient,11/2/2022,,,,,,
Self-schedule an appointment,Booking Site,FO/PE,Patient,11/2/2022,,,,,,
Automatically populate administrative forms,Document Management,FO/PE,Front-Office Staff,9/1/2023,,,,,,
Configure clinical patient report categories (report types),Document Management,FO/PE,Provider,11/2/2022,8/1/23,,,,,
File a document,Document Management,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Import a document via email (Email Import),Document Management,FO/PE,Provider,6/2/2023,,,,,,
Review patient reports received,Document Management,FO/PE,Provider,11/2/2022,3/1/24,,Moved from OC to FO/PE,,,
Upload a document,Document Management,FO/PE,Front-Office Staff,11/2/2022,,,,,,
View a document,Document Management,FO/PE,Front-Office Staff,8/10/2023,,,,,,
Receive notifications,Notification,FO/PE,Care Navigator,11/2/2022,8/1/23,,,,,
Set notification preferences,Notification,FO/PE,Care Navigator,11/2/2022,8/1/23,,,,,
Manage office message delivery schedule,Office Messages,FO/PE,Care Navigator,11/2/2022,2/24/23,4/1/13,,,,
Access Passport via desktop web,Passport (Patient Experience),FO/PE,Patient,12/2/2022,4/20/23,,,,,
Access Passport via mobile web,Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/20/23,,,,,
Access Passport via native mobile application,Passport (Patient Experience),FO/PE,Patient,5/4/2023,,,,,,
Integrate Passport with other sources of medical record data,Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/20/23,,,,,
Invite patient to passport,Passport (Patient Experience),FO/PE,Front-Office Staff,11/2/2022,4/20/23,,,,,
Manage chart data shared with patient,Passport (Patient Experience),FO/PE,Patient,11/2/2022,,,,,,
Manage passport account (patient-facing),Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/20/23,,,,,
"Manage patient experience (practice-facing, ex Disable)",Passport (Patient Experience),FO/PE,Front-Office Staff,11/2/2022,4/20/23,,,,,
Print patient letter messages,Passport (Patient Experience),FO/PE,Patient,6/22/23,8/1/23,,Re-classify to Passport,,,
Receive messages from the practice,Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/20/23,,,,,
Send messages to the practice,Passport (Patient Experience),FO/PE,Patient,4/5/2023,4/20/23,,,,,
Share medical record (patient-facing),Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/20/23,,,,,
Support multiple languages,Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/20/23,,,,,
Track actions & orders in Passport,Passport (Patient Experience),FO/PE,Patient,11/2/2022,8/15/24,,,,,
View appointments (patient view),Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/20/23,,,,,
View medical record (patient view),Passport (Patient Experience),FO/PE,Patient,11/2/2022,4/13/23,,,,,
File patient letter to chart,Patient & Practice Communication,FO/PE,Front-Office Staff,8/28/2023,,,,,,
Follow up on outstanding patient messages,Patient & Practice Communication,FO/PE,Front-Office Staff,11/2/2022,4/20/23,,About how EHR user can receive and process incoming patient communications,,,
Initiate communications with patient,Patient & Practice Communication,FO/PE,Front-Office Staff,11/2/2022,4/20/23,,,,,
Message a patient,Patient & Practice Communication,FO/PE,Front-Office Staff,4/20/23,,4/20/23,,,,
Respond to a patient's inquiry,Patient & Practice Communication,FO/PE,Provider,4/5/2023,8/1/23,,,,,
Run patient marketing ad campaigns,Patient & Practice Communication,FO/PE,Front-Office Staff,11/2/2022,4/20/23,,,,,
Share care plan and handouts with patient,Patient & Practice Communication,FO/PE,Provider,5/4/2023,,,,,,
Assign a patient to a provider,Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Change Patient Status (Inactive/Deceased),Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Create a patient,Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Delete a patient,Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Document patient's preferred language,Patient Demographics,FO/PE,Provider,11/2/2022,4/1/24,,Changed domain from Clinical Profile,,,
Link related patients / charts,Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Manage patient tags,Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Restore demographic edits,Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Run reports for patient tags,Patient Demographics,FO/PE,,5/17/2024,,,,,,
Share patient demographics (print demographics or send demographics),Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,9/20/23,,,,,
Update demographics,Patient Demographics,FO/PE,Front-Office Staff,11/2/2022,,,,,,
View demographics,Patient Demographics,FO/PE,Front-Office Staff,12/2/2022,12/22/22,,"Spruce, SFHC",,,
Communicate with patient using an integrated partner,Patient Engagement Integrations,FO/PE,Provider,12/2/2022,7/19/23,,,,,
Send patient forms using an integrated partner,Patient Engagement Integrations,FO/PE,Front-Office Staff,11/2/2022,12/2/22,,,,,
Manage patient insurance,Patient Insurance & Eligibility,FO/PE,Front-Office Staff,4/14/2023,,,,,,
View patient insurance,Patient Insurance & Eligibility,FO/PE,Front-Office Staff,5/4/2023,,,,,,
Complete patient forms,Patient Intake & Tracking ,FO/PE,Front-Office Staff,12/2/2022,,,,,,
Configure patient forms,Patient Intake & Tracking ,FO/PE,Front-Office Staff,6/22/2023,,,,,,
Export patient forms data into chart,Patient Intake & Tracking ,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Print patient forms,Patient Intake & Tracking ,FO/PE,Front-Office Staff,9/25/2023,,,,,,
Send patient forms,Patient Intake & Tracking ,FO/PE,Front-Office Staff,11/2/2022,,,,,,
View patient forms,Patient Intake & Tracking ,FO/PE,Front-Office Staff,11/2/2022,,,,,,
View patient intake checklist,Patient Intake & Tracking ,FO/PE,Front-Office Staff,8/28/2023,,,,,,
View patient outstanding balance at the time of visit,Patient Intake & Tracking ,FO/PE,Front-Office Staff,11/2/2022,3/28/23,,,,,
Filter patient list,Patient List,FO/PE,Care Navigator,11/2/2022,8/1/23,,,,,
Report on vacccine adherence across population,Patient List,FO/PE,,,,,,,,
Send bulk communication to patients,Patient List,FO/PE,Care Navigator,11/2/2022,8/1/23,,,,,
View important patient information in Patient List report,Patient List,FO/PE,Care Navigator,11/2/2022,8/1/23,,,,,
Search for Patients,Patient Search,FO/PE,Front-Office Staff,11/2/2022,,,,,,
Send surveys to patients,Patient Surveys,FO/PE,Front-Office Staff,12/12/2022,,,,,,
Address requiring action queue items,Requiring Actions Queue,FO/PE,Care Navigator,7/25/2026,8/1/23,,,,,
Bulk update queue items,Requiring Actions Queue,FO/PE,Care Navigator,11/2/2022,8/1/23,,,,,
Configure requiring action criteria,Requiring Actions Queue,FO/PE,Care Navigator,4/12/2023,8/1/23,,,,,
